,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,asin,image,overall,reviewText,reviewTextClean,reviewTime,reviewerID,reviewerName,style,summary,unixReviewTime,verified,vote,sentiment
2577,4329,262062,262062,B005WGEZ1C,,5.0,I love everything about it. The cover was as vibrant as its picture. Fit my IPad perfectly. Bonus- a place for my,love everything cover vibrant picture fit ipad perfectly bonus place,"07 18, 2016",AB6084Z9XAHT7,Karen A.S.,{'Color:': ' Z-Floral Fan Purple'},Love this!,1468800000,True,,1
2846,342,290421,290421,B007H4VT7A,,5.0,THIS RIG IS DOING A GREAT JOB FOR ME. I HAVE ABOUT 5 BAOFENG UNITS AND NEVER A PROBLEM.,rig great job baofeng unit never problem,"01 4, 2017",A1M8O23WA7RURM,BOB,,Five Stars,1483488000,True,,1
1126,7988,427037,427037,B00GHY5JAO,,4.0,"Bought these to hook up to a small LED projector I purchased. In my small room,  they're great. Loud enough to hear over my fan and chatty girlfriend! They aren't the clearest,  but for the incredibly low price you can't beat it. Don't expect a Bose quality sound and you'll be pleased.",bought hook small led projector purchased small room great loud enough hear fan chatty girlfriend clearest incredibly low price beat expect bose quality sound pleased,"02 18, 2016",A1LKSKO77RLG2K,MJ,"{'Size:': ' 1-Pack', 'Style:': ' USB Power'}","For the money,  they're great",1455753600,True,,1
2088,567,319188,319188,B0098PLPOI,,1.0,This is supposed to be a plug n play USB device. It's not working and it should be ZERO star.,supposed plug n play usb device working zero star,"01 30, 2014",A383SNJ76H6FAO,Parkwood Guy,,Not Working,1391040000,True,,0
2957,3867,415498,415498,B00FEE7B1I,,5.0,"I had found that I did not use my 10"" android tablet at work as often as I thought I would.  It's a latest generation Samsung, and it's great, but it was too big for me to conveniently carry everywhere.  I checked, and most 8"" tablets would fit in my pants pocket.  I started looking, and I ordered this on a whim because Dell was selling a refurb for barely more than the cost of a Microsoft Office home and Student license (which is included).

It turns out I really like it a lot. I have barely used my larger (and much more expensive) tablet since I got this one.  I have read a lot of reviews from folks who have picked up an iPad mini or similar sized tablets who wind up preferring them to larger ones, and I will echo those thoughts.

Beyond the size, the reason I like it so much (again to my GREAT surprise) is Windows 8.1.  Really.  My family has two modern, powerful touch-screen laptops with Windows 8.1 on them.  I really don't like it in that application.  The ""metro"" (yes, I know that's not its real name, but it seems to be what folks still call it) touch screen interface is just horrible to me on a laptop.  I installed Classic Shell (which brings back the Start menu and boots to desktop mode) on my laptops, which really just about ""fixes"" what most folks hate about Windows 8.1. Still, sometimes you are forced into the metro screen, and it is still annoying.

BUT putting Windows 8.1 on a tablet changes everything.  The metro interface is clearly designed for tablet use, and it really shines there.  As much as I dislike the metro interface on the laptop, on the tablet, it is the desktop interface that is less satisfying.  The metro apps are fast, easy to use with fingers, and it is easy to switch between apps (all of those gestures, charms and swipes that are odd on a laptop now make perfect sense).  Web surfing, game playing and video watching are all as good as on any tablet I've used.  Having the built-in Word and Excel and the ability to run Windows programs are great bonuses (I even installed Civ 5 and played the touch-screen version. It's playable on this tablet, although the wait between turns is longer than on a modern full PC).

Even Internet Explorer (with one caveat) is a pleasure.  The swipe navigation is helpful, intuitive  and easy to use on a tablet.

Microsoft and Intel made some huge missteps in the launch of Windows 8 and windows tablets.  The first generation's Clover Trail atom processors were just not really up to the task of running a full desktop OS fluidly enough for many users.  The new Bay Trail atom processors are (no, they are not Haswell class, but they are not supposed to be that fast, either).

Having desktop and laptop users forced into a tablet desktop was also a terrible idea, but it sounds like Microsoft is finally realizing it.  The metro interface being run on a tablet with a powerful enough processor is great.  The Dell's screen is good, and is a pleasure to use.

Here are my nits, but none would deter me from recommending the tablet to a friend:

1.  The windows store is getting better, but it is far behind Google Play, much less Apple's app store in many areas.  I've been able to find an app for most of what I want to do, but the selection is nothing like the other ecosystems.

2. Here is the caveat for Internet Explorer.  Bing is integrated into the search feature.  Yes, you can go to the Google home page to run a search, but it's a pain and I wish Microsoft would let that thing go already.

Edit May 2, 2014:

I just was out of town and tried to use a capacitive stylus to annotate some PDF presentation slides.  You can't do that in the standard viewer app, but there are several apps available from the Windows store for relatively low cost.  I tried a couple, and unfortunately, I found it unworkable.  All I had was (a relatively good) capacitive stylus.  It was horrible.  It skipped so much as to make the annotations pointless.  I've ordered the new version of the active stylus from Amazon, but it's on back order.  I hope it is a lot better.",found use android tablet work often thought would latest generation samsung great big conveniently carry everywhere checked tablet would fit pant pocket started looking ordered whim dell selling refurb barely cost microsoft office home student license included turn really like lot barely used larger much expensive tablet since got one read lot review folk picked ipad mini similar sized tablet wind preferring larger one echo thought beyond size reason like much great surprise window really family two modern powerful touch screen laptop window really like application metro yes know real name seems folk still call touch screen interface horrible laptop installed classic shell brings back start menu boot desktop mode laptop really fix folk hate window still sometimes forced metro screen still annoying putting window tablet change everything metro interface clearly designed tablet use really shine much dislike metro interface laptop tablet desktop interface le satisfying metro apps fast easy use finger easy switch apps gesture charm swipe odd laptop make perfect sense web surfing game playing video watching good tablet used built word excel ability run window program great bonus even installed civ played touch screen version playable tablet although wait turn longer modern full pc even internet explorer one caveat pleasure swipe navigation helpful intuitive easy use tablet microsoft intel made huge misstep launch window window tablet first generation clover trail atom processor really task running full desktop o fluidly enough many user new bay trail atom processor haswell class supposed fast either desktop laptop user forced tablet desktop also terrible idea sound like microsoft finally realizing metro interface run tablet powerful enough processor great dell screen good pleasure use nit none would deter recommending tablet friend window store getting better far behind google play much le apple app store many area able find app want selection nothing like ecosystem caveat internet explorer bing integrated search feature yes go google home page run search pain wish microsoft would let thing go already edit may town tried use capacitive stylus annotate pdf presentation slide standard viewer app several apps available window store relatively low cost tried couple unfortunately found unworkable relatively good capacitive stylus horrible skipped much make annotation pointless ordered new version active stylus amazon back order hope lot better,"04 24, 2014",A7JGVDRIEUTKH,Often Disgruntled Consumer,"{'Capacity:': ' 8 Inch Display', 'Style:': ' 32 GB SSD'}",Surprised I like it so much.,1398297600,False,,1
161,4123,657298,657298,B01CDDTZMK,,5.0,"Possibly the best 4K 3D TV. First, I did not buy this on Amazon, I bought it directly from ielectrica from their site. They had the best price and a bit of stock left.

Funny that I would buy such a high-end TV since I am not a TV watcher, cable and DSL are not even available where I live and I do not have Dish or anything other than a cheap antenna which brings in a handful of local stations.

I mainly use the TV as a computer monitor, being a photographer/videographer. One video camera I have shoots in 3D. I've been using TVs like that since before smart TVs existed. I do not connect the TV to the Internet except to update the OS now and then.

I have watched 2 3D movies on this though and they look great as do 2D. I would have liked the flat screen model but as others have said this is not a very extreme curve and most of the time I do not think about it.

Having said all that, after watching this I realize what a good one my ""old"" Panasonic HD 3DTV is... after 3 years. This one outshines it a bit but considering everything the one I replaced is amazing also and might not sell it because I doubt I'd get what I think it is worth.

I don't think you will go wrong buying this if you are looking for a good one, and the seller is fantastic.",possibly best k tv first buy amazon bought directly ielectrica site best price bit stock left funny would buy high end tv since tv watcher cable dsl even available live dish anything cheap antenna brings handful local station mainly use tv computer monitor photographer videographer one video camera shoot using tv like since smart tv existed connect tv internet except update o watched movie though look great would liked flat screen model others said extreme curve time think said watching realize good one old panasonic hd dtv year one outshines bit considering everything one replaced amazing also might sell doubt get think worth think go wrong buying looking good one seller fantastic,"10 10, 2017",A1LYOBSJUVIXA,WEV,{'Size:': ' 55 inches'},Last of the great 3D TVs,1507593600,False,,1
2158,9116,187950,187950,B003VUCHN4,,4.0,"Received the lens ontime, seems pretty fine but I cannot test it since so far I have not been able to mount the wide angle adapter on my Nikon D610 with a 24-85mm f/3.5-4.5G ED VR AF-S Nikkor Lens. Maybe there is something that I do not know. I can mount BOTH lenses (wide angle and macro) but I cannot mount the wide angle alone. Perhaps some kind of adapter is needed or I have to remove the macro lens and I do not know how to do that. The small booklet that came in says that I may need additional adapter rings or adapter tubes.",received lens ontime seems pretty fine cannot test since far able mount wide angle adapter nikon mm f g ed vr af nikkor lens maybe something know mount lens wide angle macro cannot mount wide angle alone perhaps kind adapter needed remove macro lens know small booklet came say may need additional adapter ring adapter tube,"08 25, 2014",A20YCX86A2P1KN,Los CR,,Cannot mount the wide angle in my Nikon 24-85mm FX lens. Probably need some special tool or adapter,1408924800,True,2,1
946,5364,587564,587564,B00YBC8JLA,,5.0,"Fortunatly I have not needed the policy, hope I never do.",fortunatly needed policy hope never,"03 4, 2018",A23EBHAPI1COH2,old shakey,,Five Stars,1520121600,True,,1
1184,4648,124778,124778,B003U791S2,,3.0,"Ordered this for a video install I was doing for a client. The goal was to take an analog HD video feed with audio across a room with minimal loss.

It was run from switching equipment through a hole in the floor, across a plenum, and back up through a hole in the floor to a computer. After hooking it up, video was working fine with no noticeable loss, however I wasn't getting any audio across the cable. Thinking maybe there was an issue at the switching equipment or the computer, I troubleshooted the cable by plugging it directly into an audio source at one end and a known-working set of amplified speaker at another. No dice.

Unfortunately, I was in a bit of a pinch for time, so I didn't have time to send it back for exchange. Luckily I did have the ability to send audio over CAT-5 for the job, which I did to rectify the issue. But the issue remains that video works, audio does not.

I can only assume that there is some sort of defect in the cable (maybe a bad soldier on two of the RCA heads (because neither left or right audio worked)? Or worse yet, a break in the cable somewhere. Just thought it was odd.

Three stars because it doesn't work correctly.",ordered video install client goal take analog hd video feed audio across room minimal loss run switching equipment hole floor across plenum back hole floor computer hooking video working fine noticeable loss however getting audio across cable thinking maybe issue switching equipment computer troubleshooted cable plugging directly audio source one end known working set amplified speaker another dice unfortunately bit pinch time time send back exchange luckily ability send audio cat job rectify issue issue remains video work audio assume sort defect cable maybe bad soldier two rca head neither left right audio worked worse yet break cable somewhere thought odd three star work correctly,"02 1, 2012",A3B9EOUXZ494CL,C. Clark,{'Color:': ' 50 Feet'},One small problem...,1328054400,True,2,0
665,6937,214918,214918,B004OVECU0,,5.0,"Items were exactly as described, and fast shipping!",item exactly described fast shipping,"07 11, 2014",A2ABOQARPTP4MC,LCField,,Five Stars,1405036800,True,,1
1608,629,712702,712702,B0057R4F98,,5.0,ever since I started using this filter my body's lever of cronard 56 has been up by at least 43% and my ccu levels have been down by 78 kilo points. I would never talk to strangers when using this product and always look both ways when crossing the street.,ever since started using filter body lever cronard least ccu level kilo point would never talk stranger using product always look way crossing street,"10 22, 2013",A1K83O14X08KHI,tpen007,,Changed my lifr,1382400000,True,,1
3019,9220,492615,492615,B00LPIR96Y,,5.0,"Worked great, easy install",worked great easy install,"09 13, 2017",ASR1I7GCC4FPL,KalaK,{'Color:': ' Black'},"Great value, easy install, works fine",1505260800,True,,1
1019,6389,520020,520020,B00O8LLCC2,,5.0,"The case is slim, sturdy and nice looking.  My wife loves the case.  The screen protection does not interfere with sensitivity.",case slim sturdy nice looking wife love case screen protection interfere sensitivity,"11 22, 2015",AOBXBJAWNVPSV,Richard Edwards,"{'Color Name:': ' White', 'Size Name:': ' Galaxy Tab 4 8.0'}",Good buy...,1448150400,True,,1
986,2569,503065,503065,B00MO2HLDQ,,5.0,"""Arrived very quickly. Pairing is a breeze. Sounds a lot better than my Jabra. I bought this one for my wife after reading the reviews. I'm glad it worked out nicely. Now I have the peace of mind not worrying that my wife might get caught with using non-hand free phone on the car.  Would buy again. """,arrived quickly pairing breeze sound lot better jabra bought one wife reading review glad worked nicely peace mind worrying wife might get caught using non hand free phone car would buy,"09 15, 2015",A2D86E05QWKDYT,Joseph Magliulo,{'Color:': ' Dual Speaker - Can Play GPS and Music'},Great Bluetooth Product for Your Car,1442275200,True,,1
409,3757,686577,686577,B0001NYJ58,,2.0,"I am sure this is a good product but it did not come with a low profile face plate and therefore I cannot use it. I have installed many nics in the past and most of them have come with both sizes. This one did not.

 If anyone happens to know where I can get a low profile faceplace for this card please let me know.",sure good product come low profile face plate therefore cannot use installed many nics past come size one anyone happens know get low profile faceplace card please let know,"05 29, 2015",A2Q6V6AHGJ16XS,Timothy G. Grissom,,No low profile face plate included.,1432857600,True,,0
725,6913,198500,198500,B0046S54GC,,5.0,"Works great and no complaints and arrived very promptly. Very good communication after purchase. Works really well, and am very happy with this device.",work great complaint arrived promptly good communication purchase work really well happy device,"06 1, 2014",A2M3PH677UKBSE,Dwayne Payne,{'Size:': ' Micro HDMI Adapter'},Works great and no complaints,1401580800,True,,1
1230,3480,644418,644418,B019PBEI5W,,5.0,"Always wanted to be able to isolate guest networks, home networks and a work network in my home.  I could have done this with a lesser product, but chose the USG-PRO-4 to allow for expansion down the road.  Maybe fiber is in my future?  We'll see.

The GUI interface makes configuring this gateway (extreme router) a snap.  I had it up and running in about 20 minutes with no real networking experience.",always wanted able isolate guest network home network work network home could done lesser product chose usg pro allow expansion road maybe fiber future see gui interface make configuring gateway extreme router snap running minute real networking experience,"06 10, 2017",A3UD860BQWHCRC,Skeetobite,,"Yep, it's pretty awesome!",1497052800,True,4,1
2002,7651,487356,487356,B00L9IORCO,,5.0,"I searched and researched for a long time before I finally purchased this monopod and I don't regret it in the least. This monopod has been amazing! I use it every where I go to shoot. I photograph at the zoo, outdoors, hikes, etc and take it everywhere. It is easy to travel with and you can quickly adjust the legs and be setup for a photo in seconds. If you are looking for something that is easy to use and flexibility than look no further.",searched researched long time finally purchased monopod regret least monopod amazing use every go shoot photograph zoo outdoors hike etc take everywhere easy travel quickly adjust leg setup photo second looking something easy use flexibility look,"05 15, 2013",AO73T8YA41EMU,James Hall,,Well worth the money!,1368576000,True,,1
1224,1315,737835,737835,B00HEU8P2O,,4.0,This works great it is a sturdy design and is easy to use.,work great sturdy design easy use,"12 18, 2016",A34DKOQ6R8UEZE,borg,{'Size:': ' 3-Pack'},sturdy design and easy to use.,1482019200,False,,1
754,6317,469859,469859,B00JV21M3W,,5.0,works fine!,work fine,"10 14, 2014",AHP1FIFQ3G8RW,RGK,,Five Stars,1413244800,False,,1
181,5104,53841,53841,B000I5LACO,,4.0,"This product works well.
The cord seems a little short.  Maybe they include the plugin's in the total length?
So far it does it's job.
Really don't ever want to test the surge protection.  (fingers crossed)",product work well cord seems little short maybe include plugin total length far job really ever want test surge protection finger crossed,"01 6, 2016",AG6NI3I1V8LFI,kduit65,"{'Size:': "" 6' with Rotating Plug""}",Like the flat wall plug,1452038400,True,,1
2406,2052,79322,79322,B000Y9TZ9Y,,5.0,No problems with this card.,problem card,"02 5, 2017",A32H1F9KF8FS91,tterapin,{'Package Type:': ' Frustration-Free Packaging'},Five Stars,1486252800,False,,1
488,6381,266227,266227,B0064L8Q1E,,4.0,"The stylus is fine, but I bought a leather case for my Kindle Fire HD and the stylus circumference is too large to fit in the holding strap on the case. I would give it five stars except for the size.",stylus fine bought leather case kindle fire hd stylus circumference large fit holding strap case would give five star except size,"01 31, 2013",A3EGWOF09IT2QE,pattis,,Stylus is too large for Kindle leather case strap,1359590400,True,,1
36,7453,535741,535741,B00QH7ZW1M,,5.0,My granddaughter loved the color.,granddaughter loved color,"02 3, 2018",A2Y20NCEAAN26P,Grammy,{'Color:': ' Pink'},Five Stars,1517616000,True,,1
426,6959,617532,617532,B014ZQ07NE,,2.0,"It worked fine for about 4 months, then some ports stopped working for USB (still worked for charging), then all ports stopped working until I powercycled the hub.  Now at just shy of 5 months, it works for about 10 minutes and then disappears from Device Manager",worked fine month port stopped working usb still worked charging port stopped working powercycled hub shy month work minute disappears device manager,"05 1, 2016",A21P6YXHKT5OLW,Jonathan Lusky,,worked fine for about 4 months,1462060800,True,,0
2392,181,353016,353016,B00BD7L21U,,5.0,"I have bought two of these hubs because they are the most substantial ones on the market. If you accept the fact that a USB hub is not a complex design, then it all gets down to the details. And here Dyconn is the clear winner. Beautifully constructed. Other hubs out there are small or made of flimsy plastic. As a result they flip around on my work surface, At times even inadvertently disconnecting the phone, scanner or drive.
If you have few USB items to plug in or are buying on price alone there are many other choices. I have 4 USB devices and am willing to pay for great quality. So I bought two, one for each MacBook Pro.",bought two hub substantial one market accept fact usb hub complex design get detail dyconn clear winner beautifully constructed hub small made flimsy plastic result flip around work surface time even inadvertently disconnecting phone scanner drive usb item plug buying price alone many choice usb device willing pay great quality bought two one macbook pro,"12 5, 2013",A1M4DFPK9JNCSO,Hedgman Dent Smith,{'Style:': ' 4 Port'},Excellence in a USB Hub.,1386201600,True,,1
503,8137,145315,145315,B004RTE5EC,,3.0,"A couple of years ago, I received this 59"" TV as a replacement for a Samsung 58"" 3-D TV bought in 2011, which was a nightmare.  This was after three service orders and writing to the Office of the President, presenting a formal complaint.

The good things about the Sammy PN59D8000: Slim modern design.  Great picture quality especially with B/R 3-D. Wide viewing angle.  Removable base that allows wall mounting.  Plenty of inputs and outputs.

The bad things about the Sammy PN59D8000:
* Internal speakers sound is mediocre making you need an external device for proper audio listening, especially with the high and low bass frequencies.
* Optical and sound digital output do not provide the 5.1 sound advertised.  You need an Amplifier/Receiver/Surround Bar Decoder to get the full 5.1 effect.  I have it with a 7.2 thanks to an Onkyo amplifier and supplemental speakers and sub-woofers.
* TV Outputs; HDMI and USB will not allow you to see or record TV programs as advertised by Samsung.  Note that Samsung's website even advertised specific storage devices made by WD to save recorded programs.
* Even though mislead, as of March 2014, the TV still does not have the capability of installing the Amazon Prime TV feature for those of us who are subscribed.  You might need to buy a Roku or a Google Chrome to get Amazon Prime movies.
* The Remote Control is a nightmare and a battery drainer.  Mine was replaces twice and ended up getting a Logitech complementary RC to be able to properly program recordings on the TV.
* The 3-D features are cumbersome as even though you need to wear the 3-D glasses included, it is a nightmare.  Samsung TVs have three separate settings for watching 3-D.  Horizontal, diagonal or side to side depending on the source.  The major problem is that if you are watching a 3-D  movie on any of the formats and you pause it, even with the glasses, you need to return the TV to the original 2-D format to even read/see what is next.  Crazy!!!
* As all Plasma TVs, this Sammy Plasma gets the room very warm, unlike my old Sony LCD Bravia from 2005 which does not generate any heat at all and after almost a decade, still works perfectly.

Thus, if you have read my review up to this part, consider getting a Panasonic, a Sony LCD or even an LG TV.  Have seen all these three and much better and cheaper alternatives than the Samsung PN59D8000 3-D Plasma.  As of March 2014, 3-D TV features are not worth.

I invite you to research on the legal suits against Samsung for false advertisement of several of the issues above mentioned.  Hope this helps your decision on which TV to get but stay away from 3-D and especially from Sammy products.

MP",couple year ago received tv replacement samsung tv bought nightmare three service order writing office president presenting formal complaint good thing sammy pn slim modern design great picture quality especially b r wide viewing angle removable base allows wall mounting plenty input output bad thing sammy pn internal speaker sound mediocre making need external device proper audio listening especially high low bass frequency optical sound digital output provide sound advertised need amplifier receiver surround bar decoder get full effect thanks onkyo amplifier supplemental speaker sub woofer tv output hdmi usb allow see record tv program advertised samsung note samsung website even advertised specific storage device made wd save recorded program even though mislead march tv still capability installing amazon prime tv feature u subscribed might need buy roku google chrome get amazon prime movie remote control nightmare battery drainer mine replaces twice ended getting logitech complementary rc able properly program recording tv feature cumbersome even though need wear glass included nightmare samsung tv three separate setting watching horizontal diagonal side side depending source major problem watching movie format pause even glass need return tv original format even read see next crazy plasma tv sammy plasma get room warm unlike old sony lcd bravia generate heat almost decade still work perfectly thus read review part consider getting panasonic sony lcd even lg tv seen three much better cheaper alternative samsung pn plasma march tv feature worth invite research legal suit samsung false advertisement several issue mentioned hope help decision tv get stay away especially sammy product mp,"03 27, 2014",A3BM7G85F9YSLV,Manuel in FL,{'Size:': ' 59-Inch'},Samsung PN59D8000 3-D Plasma after two years; too many issues and problems...,1395878400,False,3,0
829,7542,19037,19037,B0000C47QH,,5.0,On time exactly as promised.,time exactly promised,"12 7, 2014",A1PSZRHNMI5NX3,Richard T. Taecker,,Five Stars,1417910400,True,,1
1297,5746,354616,354616,B00BGBU3X6,,5.0,Works great. So far everything we have connected with this switch sends a great signal to the TV.,work great far everything connected switch sends great signal tv,"12 18, 2014",A1E5I6BSQR3SCL,Qapla,,Five Stars,1418860800,True,,1
1432,1679,237161,237161,B005A0B7CA,,5.0,"Love it, love it, love it it's easy to set up, and its easy to use.  The sound quality is excellent. No one knows I'm talking thru a hands free device. I highly recommend Jabra. In my state its an offense that gets you a ticket for holding and talking on a cell phone while driving,  I don't have to worry about getting a ticket anymore. ",love love love easy set easy use sound quality excellent one know talking thru hand free device highly recommend jabra state offense get ticket holding talking cell phone driving worry getting ticket anymore,"01 26, 2017",A2D56IH2IZZFJD,Kathleen Senick,"{'Color:': ' Black', 'Package Type:': ' Standard Packaging'}","Love it, love it",1485388800,False,,1
1326,2945,448600,448600,B00I862SE4,,5.0,excellent product,excellent product,"01 5, 2017",A2VTP0KN8B2YVD,SG,,Five Stars,1483574400,True,,1
2397,2050,660308,660308,B01CW4BN5M,,4.0,"Great software, great price, easy to setup, what else do you want!

The software does use a lot of bandwith but what do you expect out of a 1080p dome camera.  I replaced my unreliable arlo baby camera with this and never looked back.  Never have issues with connectivity and couldn't be happier.  Honestly, all the other functions of the other cameras are not really needed.",great software great price easy setup else want software use lot bandwith expect p dome camera replaced unreliable arlo baby camera never looked back never issue connectivity happier honestly function camera really needed,"04 19, 2018",ATIVT3W5CKBNM,TomTom,{'Color:': ' 1080p Black'},"Great price, good software that works over multiple devices/types",1524096000,True,,1
1847,3071,338205,338205,B00AL1385C,,5.0,"I posted a review that I wasn't happy with my experience.  The manufacturer contacted me and helped me clarify the problem.  They are now shipping me a replacement.  I will say this:  The part I ordered said ""fits flush with..."" and lists out multiple models including my Macbook Retina 15.  It did not fit flush.  They explained that this part is a ""universal"" and there is a model that fits perfectly.

The description here was incorrect but the fact that the manufacturer would reach out to a customer to make it right says something.  The part is in the mail.  I will post a comment to this feedback when I receive it and close the loop.

I decided to change my negative review because of their attention to my concerns.  I'll update with the resolution when I receive the replacement part.  So far, I'm impressed with their service nonetheless.

UPDATE: The company saw my negative review here and made it right. They mailed me the perfect part. Not every company does that. It may not have been a smooth launch for these guys but their to make me a happy customer has made me a believer. If you have a problem, contact them. They are more customer focused than 99% of what you see out there. Peace!",posted review happy experience manufacturer contacted helped clarify problem shipping replacement say part ordered said fit flush list multiple model including macbook retina fit flush explained part universal model fit perfectly description incorrect fact manufacturer would reach customer make right say something part mail post comment feedback receive close loop decided change negative review attention concern update resolution receive replacement part far impressed service nonetheless update company saw negative review made right mailed perfect part every company may smooth launch guy make happy customer made believer problem contact customer focused see peace,"02 27, 2014",A1B6DWCM0DTBP3,David B,,Customer Satisfaction Matters To This Company,1393459200,True,3,1
977,4385,325808,325808,B009JI2KQ6,,5.0,"Handy for Tight fitting parts, Tapered end is a must.",handy tight fitting part tapered end must,"10 10, 2014",A1IBBJEHK4NEBT,Gary T. Miller,,Excellent Product,1412899200,True,,1
2632,5321,296032,296032,B007Q45EF4,,1.0,did not work with Plantronics.,work plantronics,"08 14, 2017",A2SNJL4SO56FE7,area251mj,,One Star,1502668800,True,,0
113,2232,444429,444429,B01FDPW1NK,,3.0,I bought the galaxy note. It came free. Thank You Samsung for the gift! But It was so Easy to Loose. The Clasp disengages easily. I had it for a week.,bought galaxy note came free thank samsung gift easy loose clasp disengages easily week,"09 16, 2016",A1LV6183TOSHFV,Joey China,"{'Size:': ' Large', 'Color:': ' Black'}",But It was so Easy to Loose,1473984000,False,,0
3029,8589,575670,575670,B00WM7TRTY,,4.0,Small but powerful.  Wish it was easier to clean. Dirt gets trapped but you can't remove the cover.,small powerful wish easier clean dirt get trapped remove cover,"12 7, 2016",A3A4WJJRND4PLG,Lynn,{'Color:': ' Blue'},Small but powerful. Wish it was easier to clean ...,1481068800,True,,1
1473,718,224825,224825,B004YCUDMA,,4.0,"A few days ago I converted from a PC to a MAC and wanted to install this cac reader onto my MAC.  It will work on your MAC, you  just need to follow a few tedious steps from this website [...]  If you're already a MAC user, it shouldn't be to much work for you.  For people like me who converted from a PC to a MAC, might have some trouble.  It took me a few hours to download, install, open keychains, restart and repeat again because it didn't work the first time around.  After a FEW more tries, I finally figured it out.

Great item!  it worked great after the tedious process.  I was able to access cac log-in required websites and outlook email from work.  Would be a 5 stars if the product is a plug and play for the MAC.

Recommend for savvy computer user to install it on a MAC

Feel free to message/email if anybody need help installing it on their mac",day ago converted pc mac wanted install cac reader onto mac work mac need follow tedious step website already mac user much work people like converted pc mac might trouble took hour download install open keychains restart repeat work first time around try finally figured great item worked great tedious process able access cac log required website outlook email work would star product plug play mac recommend savvy computer user install mac feel free message email anybody need help installing mac,"10 10, 2013",A3AQIT4I9GNV6P,Mike P.,,Work on MAC,1381363200,False,,1
824,8716,710587,710587,B004UC4HCG,,5.0,"I built out this PC over a year ago. I upped the RAM to 8 GB and added an SSD for the boot drive, kept a 1 TB SATA drive as data as well. This PC works fantastic, lots of USB ports, HDMI ports, etc. never fails, very fast.",built pc year ago upped ram gb added ssd boot drive kept tb sata drive data well pc work fantastic lot usb port hdmi port etc never fails fast,"07 15, 2014",AGLI11WDUK45G,G. Gold,,"This PC works fantastic, lots of USB ports",1405382400,True,,1
2441,4886,243140,243140,B005DSO8C0,,4.0,"As everyone else who had reviewed this product noted, it has great sound and looks super cool.  I already love it in comparison to the other small speaker systems that I've take on trips in the past.  Unfortunately, I have to give it 4 stars because I know for a fact that it will break on me after a while.

The issue is the plastic tab that you use to pull the speaker cable out from the body with... it's super flimsy and the tab already shows stress marks after my first time opening it.  It's basically a piece of plastic as thin as paper and as small as match head that you have to grasp with your finger nails and pull on any time you open it, and it's part of the normal molding so don't think that it's going to be especially durable plastic.  The same two plastic tabs get stuck on the carrying case liner when you put it in and out of it's protective case.  I guess that I'm going to try and super glue some better handles on myself to preemptively fix the issue.

Still, it's a pretty clever design and I think that it's going to work out well.",everyone else reviewed product noted great sound look super cool already love comparison small speaker system take trip past unfortunately give star know fact break issue plastic tab use pull speaker cable body super flimsy tab already show stress mark first time opening basically piece plastic thin paper small match head grasp finger nail pull time open part normal molding think going especially durable plastic two plastic tab get stuck carrying case liner put protective case guess going try super glue better handle preemptively fix issue still pretty clever design think going work well,"08 6, 2009",AY6ADQBULZFBK,Steve Markgraf,,almost perfect,1249516800,True,,1
1579,3422,65179,65179,B000P1O73A,,5.0,good,good,"05 28, 2014",A2RVL3A0EX8Y7Q,B.J.B.H.,{'Size:': ' 4 GB'},security,1401235200,True,,1
20,7982,580724,580724,B00X8MRBCW,,5.0,Where was I before I purchased the nifty 50? I adore this lens. It's now my go-to!,purchased nifty adore lens go,"12 28, 2015",A31M8JPK2QOFLN,Liz B,{'Style:': ' Lens Only'},LOVE it!,1451260800,True,,1
1039,372,616999,616999,B014VERCR4,,5.0,excellent,excellent,"05 8, 2018",A1Q387UZFY2HUG,kgsolutions,,Five Stars,1525737600,True,,1
1249,283,52565,52565,B000HNJ6U0,,5.0,I agree I did my research before purchasing this product. But still I am very happy with this product. Its small and hardly visible behind my iMac. Produces nice TV output on my screen. The TV guide also works fine and I was even able to record shows. Only down side I observed is that its gets a little hot when left connected to the system for too long. Except that everything is fine.,agree research purchasing product still happy product small hardly visible behind imac produce nice tv output screen tv guide also work fine even able record show side observed get little hot left connected system long except everything fine,"02 19, 2009",A27YZDJ8RTI5R6,R. Gundala,,Superb TV solution for my iMac,1235001600,True,3,1
2079,3392,41151,41151,B000BU7XNG,,5.0,It is very nice to have the extra ports. It is much better to have ports in the rear of the computer than using the installed ports in the front.  Installing it and configuring it took little time.  I would recommend this product as an easy way to add ports for the novice installer.,nice extra port much better port rear computer using installed port front installing configuring took little time would recommend product easy way add port novice installer,"01 21, 2014",A3OY5ENTL1Q80L,jrzman,"{'Capacity:': ' 4-port', 'Model:': ' SD-VIA-5U'}",Easy to install.,1390262400,True,,1
619,2684,595246,595246,B0106JFW5W,,5.0,good,good,"04 29, 2016",A3UPBXFYCMZ49V,Vasiliy Smirnov,{'Color:': ' Wired'},Five Stars,1461888000,True,,1
2008,9334,698656,698656,B001D1PWGM,,4.0,no issues with windows 8.1. I use this with sim vibe and i have 3 sound cards installed.,issue window use sim vibe sound card installed,"03 18, 2015",AN0RXRBAKUTYN,Shannon,,Four Stars,1426636800,True,,1
